"IndicatorCode","IndicatorName","VariableName","MeasurementName","CountryCode","Alpha3Code","CountryName","PeriodCode","Value",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","051","ARM","Armenia","2015","9756.8",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","051","ARM","Armenia","2016","10570.1",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","051","ARM","Armenia","2017","12066.0",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","051","ARM","Armenia","2018","12877.5",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","051","ARM","Armenia","2019","14975.8",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","051","ARM","Armenia","2020","14704.3",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","051","ARM","Armenia","2021","15916.3",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","051","ARM","Armenia","2022","19094.8",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","051","ARM","Armenia","2023","21299.4",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","040","AUT","Austria","2005","34787.4",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","040","AUT","Austria","2006","37399.2",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","040","AUT","Austria","2007","39195.2",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","040","AUT","Austria","2008","41046.6",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","040","AUT","Austria","2009","40674.5",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","040","AUT","Austria","2010","41751.8",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","040","AUT","Austria","2011","44187.9",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","040","AUT","Austria","2012","46176.6",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","040","AUT","Austria","2013","47534.4",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","040","AUT","Austria","2014","48369.2",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","040","AUT","Austria","2015","49625.0",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","040","AUT","Austria","2016","52379.0",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","040","AUT","Austria","2017","53885.1",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","040","AUT","Austria","2018","56654.5",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","040","AUT","Austria","2019","60370.4",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","040","AUT","Austria","2020","58523.1",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","040","AUT","Austria","2021","63606.5",
